,review_en,review_es,sentiment,sentimiento
10,"Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.At first it was very odd and pretty funny but as the movie progressed I didn't find the jokes or oddness funny anymore.Its a low budget film (thats never a problem in itself), there were some pretty interesting characters, but eventually I just lost interest.I imagine this film would appeal to a stoner who is currently partaking.For something similar but better try ""Brother from another planet""","Phil El alienígena es una de esas películas peculiares donde el humor se basa en la rareza de todo en lugar de los Punchlines reales. En primer lugar, fue muy extraño y bastante divertido, pero a medida que avanzaba la película. Ya no encontré los chistes o la rareza.Es una película de bajo presupuesto (eso nunca es un problema en sí mismo), hubo algunos personajes bastante interesantes, pero eventualmente acabo de perder interés. Me imagino que esta película atraería a un Stoner que participe actualmente. Para algo similar, pero mejor intente ""hermanode otro planeta """,negative,negativo
11,"I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.As a young kid going to these cheesy B films on Saturday afternoons, I still was tired of the formula for these monster type movies that usually included the hero, a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. I didn't care much for the romantic angle as a 12 year old and the predictable plots. I love them now for the unintentional humor.But, about a year or so later, I saw Psycho when it came out and I loved that the star, Janet Leigh, was bumped off early in the film. I sat up and took notice at that point. Since screenwriters are making up the story, make it up to be as scary as possible and not from a well-worn formula. There are no rules.","Vi esta película cuando tenía alrededor de 12 cuando salí.Recuerdo que la escena más aterradora era el gran ave que comía a los hombres colgando impotentes de los paracaídas justo fuera del aire.El horror.El horror. Un niño joven yendo a estas películas de Cheesy B los sábados por la tarde, todavía estaba cansado de la fórmula para estas películas de tipo monstruo que usualmente incluían al héroe, una hermosa mujer que podría ser la hija de un profesor y una resolución feliz.Cuando el monstruo murió al final.No me importaba mucho por el ángulo romántico como un niño de 12 años y las parcelas predecibles.Los amo ahora para el humor involuntario. Pero, aproximadamente un año más o menos, vi psycho cuando salí y me encantó que la estrella, Janet Leigh, fue golpeada temprano en la película.Me senté y me di cuenta en ese momento.Dado que los guionistas están inventando la historia, asegúrese de ser lo más aterrador posible y no de una fórmula bien usada.No hay reglas.",negative,negativo
12,"So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal (maybe im the only one). Boll apparently bought the rights to use Far Cry long ago even before the game itself was even finsished. People who have enjoyed killing mercs and infiltrating secret research labs located on a tropical island should be warned, that this is not Far Cry... This is something Mr Boll have schemed together along with his legion of schmucks.. Feeling loneley on the set Mr Boll invites three of his countrymen to play with. These players go by the names of Til Schweiger, Udo Kier and Ralf Moeller.Three names that actually have made them selfs pretty big in the movie biz. So the tale goes like this, Jack Carver played by Til Schweiger (yes Carver is German all hail the bratwurst eating dudes!!) However I find that Tils acting in this movie is pretty badass.. People have complained about how he's not really staying true to the whole Carver agenda but we only saw carver in a first person perspective so we don't really know what he looked like when he was kicking a**.. However, the storyline in this film is beyond demented. We see the evil mad scientist Dr. Krieger played by Udo Kier, making Genetically-Mutated-soldiers or GMS as they are called. Performing his top-secret research on an island that reminds me of ""SPOILER"" Vancouver for some reason. Thats right no palm trees here. Instead we got some nice rich lumberjack-woods. We haven't even gone FAR before I started to CRY (mehehe) I cannot go on any more.. If you wanna stay true to Bolls shenanigans then go and see this movie you will not be disappointed it delivers the true Boll experience, meaning most of it will suck.There are some things worth mentioning that would imply that Boll did a good work on some areas of the film such as some nice boat and fighting scenes. Until the whole cromed/albino GMS squad enters the scene and everything just makes me laugh.. The movie Far Cry reeks of scheisse (that's poop for you simpletons) from a fa,r if you wanna take a wiff go ahead.. BTW Carver gets a very annoying sidekick who makes you wanna shoot him the first three minutes he's on screen.","Así que no soy un gran fanático del trabajo de Boll, pero de nuevo no muchos son. Disfruté su postal de la película (tal vez soy la única). Casco aparentemente compró los derechos para usar con diferencia de mucho tiempo, incluso antes de que el juego en sí se haya finalizado. Las personas que han disfrutado de matar a Mercs e infiltrantes laboratorios secretos de investigación ubicados en una isla tropical deben ser advertidos, que esto no está muy lejos ... Esto es algo que el Mr Boll se ha unido junto con su legión de Schmucks .. Sentir a Loneley en el set El señor Boll invita a tres de sus compatriotas para jugar. Estos jugadores van por los nombres de Til Schweiger, Udo Kier y Ralf Moeller.Tres, los nombres que realmente los han hecho, bastante grandes en la película Biz. Así que el cuento va así, Jack Carver interpretó a Til Schweiger (sí, SI CARVER es alemán, todo el brátwurst come dudes. VERDADERO a toda la agenda de Carver, pero solo vimos a Carver en una perspectiva de primera persona, por lo que realmente no sabemos lo que parecía cuando estaba pateando a un ** .. Sin embargo, la historia en esta película está más allá de los monos. Vemos al malvado científico loco, el Dr. Krieger interpretado por Udo Kier, lo que hace que los soldados genéticamente mutados o GMS a medida que se llaman. Realizando su investigación secreta en una isla que me recuerda a ""Spoiler"" Vancouver por alguna razón. Eso no tiene palmeras aquí. En su lugar, tenemos un bonito leñador rico en madera. Ni siquiera nos hemos ido mucho antes de empezar a llorar (MEHEHE), no puedo continuar .. Si quieres mantenernos fieles a los chuloles de Shenanigans, vaya a ver esta película, no se sentirá decepcionado, le decepcionará a la verdadera experiencia de Boll, lo que significa La mayoría de ella se chupará. Hay algunas cosas que vale la pena mencionar que implicaría que Boll hizo un buen trabajo en algunas áreas de la película, como algunas bonitas escenas de bote y luchas. Hasta que todo el escuadrón de GMS cromado / albino entra en la escena y todo me hace reír. La película llora lejos de Scheisse (eso es caca para ti simplones) de un Fa, r Si quieres tomar un wiff, adelante ... BTW Carver Obtiene un compañero muy molesto que te hace querer dispararle los primeros tres minutos que está en la pantalla.",negative,negativo
13,"The cast played Shakespeare.Shakespeare lost.I appreciate that this is trying to bring Shakespeare to the masses, but why ruin something so good.Is it because 'The Scottish Play' is my favorite Shakespeare? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.In other words, you cannot improve perfection.I have no more to write but as I have to write at least ten lines of text (and English composition was never my forte I will just have to keep going and say that this movie, as the saying goes, just does not cut it.","El reparto jugó a Shakespeare.Shakespeare perdido. Aprecio que esto está tratando de traer a Shakespeare a las masas, pero ¿por qué arruinar algo tan bueno? ¿Es porque 'The Scottish Play' es mi Shakespeare favorito?No lo sé.Lo que sí sé es que un cierto agol parte bowdler (por lo tanto, la bowdlerization) trató de hacer algo similar en la era victoriana. En otras palabras, no puedes mejorar la perfección. No tengo más que escribir, pero como tengo que escribir al menos diez líneas deEl texto (y la composición inglesa nunca fue mi fuerte, solo tendré que seguir adelante y decir que esta película, como dice el dicho, simplemente no lo reduce.",negative,negativo
14,This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack (The man of constant sorrow). I recommand this movie to everybody. Greetings Bart,"Esta es una fantástica película de tres prisioneros que se hacen famosos.Uno de los actores es George Clooney y no soy un fan, pero este rollo no es malo.Otra cosa buena de la película es la banda sonora (el hombre de tristeza constante).Recomiendo esta película a todos.Saludos bart",positive,positivo
15,"Kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen. Sort of like a high school film project. What was Rosanna Arquette thinking?? And what was with all those stock characters in that bizarre supposed Midwest town? Pretty hard to get involved with this one. No lessons to be learned from it, no brilliant insights, just stilted and quite ridiculous (but lots of skin, if that intrigues you) videotaped nonsense....What was with the bisexual relationship, out of nowhere, after all the heterosexual encounters. And what was with that absurd dance, with everybody playing their stereotyped roles? Give this one a pass, it's like a million other miles of bad, wasted film, money that could have been spent on starving children or Aids in Africa.....","Tipo de las escenas eróticas, solo para darte cuenta de que era uno de los bits de película más aficionados e increíbles que he visto.Tipo de un proyecto de cine de secundaria.¿Qué pensaba Rosanna Arquette?¿Y qué fue con todos esos personajes de acciones en ese extraño pueblo medio oeste?Bastante difícil de involucrarse con este.No hay lecciones que aprender de ella, no hay ideas brillantes, simplemente íntimas y bastante ridículas (pero mucha piel, si eso lo intriga) grabó en video sin sentido ... lo que fue con la relación bisexual, de la nada, después de todos los encuentros heterosexuales..¿Y qué estaba con esa danza absurda, con todos jugando sus roles estereotipados?Dé a este pase, es como un millón de otras millas de películas malas, desperdiciadas, dinero que podría haberse gastado en niños de hambre o SIDA en África ...",negative,negativo
16,"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.","Algunas películas simplemente no deben ser rehacciones.Este es uno de ellos.En sí mismo no es una mala película.Pero no puede capturar el sabor y el terror de la película de 1963 del mismo título.Liam Neeson fue excelente, ya que él siempre es, y la mayor parte del reparto se detiene, con la excepción de Owen Wilson, quien simplemente no trajo la sensación correcta al carácter de Luke.Pero la falla importante con esta versión es que se desvió demasiado lejos de la historia de Shirley Jackson en sus intentos de ser grandiosos y perdió parte de la emoción de la película anterior en una compensación para los efectos especiales más suaves.Una vez más, diré que en sí mismo no es una mala película.Pero disfrutarás de la fricción del terror en la versión anterior mucho más.",positive,positivo
17,"This movie made it into one of my top 10 most awful movies. Horrible. There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development, they were too busy running from one sword fight to another. I had no emotional attachment (except to the big bad machine that wanted to destroy them) Scenes were blatantly stolen from other movies, LOTR, Star Wars and Matrix. Examples>The ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. >The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????>And the whole machine vs. humans theme WAS the Matrix..or Terminator.....There are more examples but why waste the time? And will someone tell me what was with the Nazi's?!?! Nazi's???? There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. Just awful. A real disappointment to say the least. Save your money.","Esta película lo convirtió en una de las 10 mejores películas más horribles. Horrible. No había un minuto continuo donde no había una pelea con un monstruo u otro. No había posibilidad de que ningún desarrollo de personajes, estaban demasiado ocupados corriendo de una lucha de espada a otra. No tuve un apego emocional (excepto a la gran máquina mala que quería destruirlos) las escenas fueron descaradamente robadas de otras películas, Lotr, Star Wars y Matrix. Ejemplos> La escena fantasma al final fue robada de la escena final de las viejas guerras de Star con Yoda, OBEE ONE y VADER. > La máquina de araña al principio era exactamente como Frodo es atacada por la araña a cambio de los reyes. (Elijah Wood es la víctima en ambas películas) y espera ...... Hypnotiza (picaduras) a su víctima y las envuelve ... Uh Hola ????> Y toda la máquina contra el tema de los humanos fue The Matrix..or Terminator ..... Hay más ejemplos, pero ¿por qué perder el tiempo? ¿Y alguien me dirá lo que estaba con los nazis?!?! ¿Los nazis ???? Había una línea de historia juvenil apresurada a una conclusión juvenil. La película no podía decidir si era una película para niños o una película para adultos y tampoco era mucho. Simplemente desagradable. Una verdadera decepción por decir lo menos. Ahorre su dinero.",negative,negativo
18,"I remember this film,it was the first film i had watched at the cinema the picture was dark in places i was very nervous it was back in 74/75 my Dad took me my brother & sister to Newbury cinema in Newbury Berkshire England. I recall the tigers and the lots of snow in the film also the appearance of Grizzly Adams actor Dan Haggery i think one of the tigers gets shot and dies. If anyone knows where to find this on DVD etc please let me know.The cinema now has been turned in a fitness club which is a very big shame as the nearest cinema now is 20 miles away, would love to hear from others who have seen this film or any other like it.","Recuerdo esta película, fue la primera película que había visto en el cine. La foto era oscura en los lugares. Estaba muy nervioso, estaba de vuelta en 74/75, mi papá me llevó a mi hermano y hermana de Newbury Cinema en Newbury Berkshire Inglaterra.Recuerdo a los Tigres y la gran cantidad de nieve en la película también la aparición del actor de Adams Grizzly Dan Haggery, creo que uno de los tigres se dispara y muere.Si alguien sabe dónde encontrar esto en DVD, etc., hágamelo saber. El cine ahora se ha convertido en un gimnasio, que es una vergüenza muy grande, ya que el cine más cercano ya está a 20 millas de distancia, le encantaría escuchar a otros que han vistoEsta película o cualquier otra como ella.",positive,positivo
19,"An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts; if the story were good, that would perfectly fine. But it's simply bizarre -- by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater-dull script? I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life -- we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.","Una película horrible!Debe haber estado en contra de algunos apestos reales para ser nominados para el Golden Globe.Han tomado la historia del primer pintor renacentista femenino famoso y lo destrozó más allá del reconocimiento.Mi queja no es que hayan tomado libertades con los hechos;Si la historia fuera buena, eso podría estar perfectamente bien.Pero es simplemente extraño, por todas las cuentas, la verdadera historia de este artista habría logrado una película mucho mejor, ¿por qué se les ocurrió este script sordo y aburrido?Supongo que no había suficientes personas desnudas en la versión fáctica.Está corriendo apresuradamente al final con un resumen de la vida del artista, podríamos habernos salvado un par de horas si habían favorecido el resto de la película con la misma brevedad.",negative,negativo
