RESUMEN EJECUTIVO DE VENTAS POR SEMANA,,,,,,,,
Análisis consolidado por semana con indicadores clave de rendimiento (KPIs) y variación semana a semana (WoW),,,,,,,,
,,,,,,,,
VENTAS TOTALES,,,UNIDADES VENDIDAS,,,TICKET PROMEDIO GENERAL,,
2004,33,2004-W33,"$21.986,27","$21.986,27",236,1,"$90.087,09","-75,6%"
2004,34,2004-W34,"$231.144,58","$46.228,92",2.348,5,"$21.986,27","+951,3%"
2004,35,2004-W35,"$51.002,32","$25.501,16",512,2,"$231.144,58","-77,9%"
2004,36,2004-W36,"$126.546,95","$42.182,32",1.220,3,"$51.002,32","+148,1%"
2004,37,2004-W37,"$159.467,05","$26.577,84",1.491,6,"$126.546,95","+26,0%"
2004,38,2004-W38,"$53.965,88","$26.982,94",602,2,"$159.467,05","-66,2%"
2004,40,2004-W40,"$48.052,04","$24.026,02",453,2,"$53.965,88","-11,0%"
2004,41,2004-W41,"$3.220,88","$3.220,88",70,1,"$48.052,04","-93,3%"
2004,42,2004-W42,"$369.057,73","$46.132,22",3.696,8,"$3.220,88","+11358,3%"
2004,43,2004-W43,"$159.925,73","$53.308,58",1.473,3,"$369.057,73","-56,7%"
2004,44,2004-W44,"$20.719,91","$20.719,91",244,1,"$159.925,73","-87,0%"
2004,45,2004-W45,"$395.198,86","$35.927,17",3.704,11,"$20.719,91","+1807,3%"
2004,46,2004-W46,"$85.921,62","$28.640,54",971,3,"$395.198,86","-78,3%"
2004,47,2004-W47,"$316.589,62","$35.176,62",3.075,9,"$85.921,62","+268,5%"
2004,48,2004-W48,"$229.445,39","$28.680,67",2.347,8,"$316.589,62","-27,5%"
2004,49,2004-W49,"$210.479,99","$30.068,57",2.152,7,"$229.445,39","-8,3%"
2004,50,2004-W50,"$156.095,62","$39.023,91",1.514,4,"$210.479,99","-25,8%"
2004,51,2004-W51,"$68.119,57","$34.059,79",719,2,"$156.095,62","-56,4%"
2005,1,2005-W01,"$78.241,80","$19.560,45",769,4,"$68.119,57","+14,9%"
2005,2,2005-W02,"$60.901,52","$30.450,76",586,2,"$78.241,80","-22,2%"
2005,3,2005-W03,"$113.153,31","$28.288,33",1.114,4,"$60.901,52","+85,8%"
2005,4,2005-W04,"$38.191,39","$38.191,39",321,1,"$113.153,31","-66,2%"
2005,5,2005-W05,"$130.402,83","$43.467,61",1.374,3,"$38.191,39","+241,4%"
2005,6,2005-W06,"$82.185,49","$20.546,37",786,4,"$130.402,83","-37,0%"
2005,7,2005-W07,"$130.597,37","$43.532,46",1.206,3,"$82.185,49","+58,9%"
2005,8,2005-W08,"$58.957,41","$29.478,71",570,2,"$130.597,37","-54,9%"
2005,9,2005-W09,"$193.387,46","$32.231,24",1.990,6,"$58.957,41","+228,0%"
2005,10,2005-W10,"$43.935,41","$21.967,71",441,2,"$193.387,46","-77,3%"
2005,11,2005-W11,"$42.675,39","$21.337,70",395,2,"$43.935,41","-2,9%"
2005,12,2005-W12,"$32.194,79","$32.194,79",287,1,"$42.675,39","-24,6%"
2005,13,2005-W13,"$151.214,03","$37.803,51",1.742,4,"$32.194,79","+369,7%"
2005,14,2005-W14,"$54.869,61","$27.434,81",530,2,"$151.214,03","-63,7%"
2005,15,2005-W15,"$61.693,22","$30.846,61",510,2,"$54.869,61","+12,4%"
2005,16,2005-W16,"$61.024,62","$20.341,54",653,3,"$61.693,22","-1,1%"
2005,17,2005-W17,"$33.692,97","$33.692,97",285,1,"$61.024,62","-44,8%"
2005,18,2005-W18,"$132.253,10","$44.084,37",1.190,3,"$33.692,97","+292,5%"
2005,19,2005-W19,"$87.709,93","$29.236,64",883,3,"$132.253,10","-33,7%"
2005,20,2005-W20,"$59.475,10","$59.475,10",509,1,"$87.709,93","-32,2%"
2005,21,2005-W21,"$51.233,18","$25.616,59",607,2,"$59.475,10","-13,9%"
2005,22,2005-W22,"$93.496,78","$23.374,20",883,4,"$51.233,18","+82,5%"
TOTAL / PROMEDIO,,,"$10.032.628,85","$32.121,57",99.067,307,,
